label-texr,label
เจ้าหน้าที่ด้านการดูแลสิทธิประโยชน์ทางสังคมของรัฐ,3353
เจ้าหน้าที่ด้านการออกใบอนุญาตของรัฐ,3354
เจ้าหน้าที่ด้านสุขภาพของชุมชน,3253
เจ้าหน้าที่ตำรวจ,5412
เจ้าหน้าที่บันทึกข้อมูล,4132
เจ้าหน้าที่ประจำด่านศุลกากรและบริเวณพรมแดน,3351
เจ้าหน้าที่ประจำห้องบังคับการเรือและผู้นำร่อง,3152
เจ้าหน้าที่ระดับอาวุโสขององค์การที่ดำเนินการเพื่อผลประโยชน์เฉพาะอย่าง,1114
เจ้าหน้าที่สินเชื่อและให้กู้ยืม,3312
เจ้าหน้าที่เทคนิคด้านการป่าไม้,3143
เจ้าหน้าที่เทคนิคด้านการสร้างภาพทางการแพทย์และอุปกรณ์การบำบัดรักษาโรค,3211
เจ้าหน้าที่เทคนิคด้านการเกษตรและการประมง,3142
เจ้าหน้าที่เทคนิคด้านวิทยาศาสตร์สิ่งมีชีวิต  (ยกเว้นแพทย์),3141
เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม,3214
เจ้าหน้าที่เทคนิคด้านเภสัชกรรมและผู้ช่วย,3213
เจ้าหน้าที่เทคนิคและผู้ช่วยด้านกายภาพบำบัด,3255
เจ้าหน้าที่เทคนิคในห้องปฏิบัติการทางการแพทย์และพยาธิวิทยา,3212
เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ,3252
เจ้าหน้าที่และผู้ฝึกสอนกีฬา,3422
เพื่อนร่วมกิจกรรมและผู้ดูแลของใช้ส่วนตัว,5162
เภสัชกร,2262
เลขานุการด้านการบริหารและเลขานุการผู้บริหาร,3343
เลขานุการด้านการแพทย์,3344
เลขานุการทั่วไป,4120
เสมียนคลังสินค้า,4321
เสมียนงานเงินเดือน,4313
เสมียนจัดเก็บและทำสำเนาเอกสาร,4415
เสมียนช่วยกรอกแบบฟอร์มและเจ้าหน้าที่ที่เกี่ยวข้อง,4414
เสมียนด้านการขนส่ง,4323
เสมียนด้านการผลิต,4322
เสมียนด้านบัญชีและการลงรายการบัญชี,4311
เสมียนด้านบุคลากร,4416
เสมียนด้านสถิติ  การเงิน  และการประกันภัย,4312
เสมียนทั่วไป,4110
เสมียนรับฝาก- ถอนเงินของธนาคาร  และเสมียนที่เกี่ยวข้อง,4211
เสมียนรับส่งและแยกประเภทจดหมาย  ไปรษณียภัณฑ์,4412
เสมียนลงรหัส   เสมียนพิสูจน์อักษร  และเสมียนที่เกี่ยวข้อง,4413
เสมียนห้องสมุด,4411
เสมียนอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,4419
เสมียนและเจ้าหน้าที่ให้คำปรึกษาด้านการท่องเที่ยว,4221
เสมียนโรงรับจำนำและผู้ให้กู้ยืมเงิน,4213
แพทย์ทั่วไป,2211
แพทย์เฉพาะทาง,2212
แพทย์แผนโบราณและแพทย์ทางเลือก,2230
โปรแกรมเมอร์,2514
